target,replicate,fastq1,fastq2,control1,control2
PTRF-human,2,https://www.encodeproject.org/files/ENCFF474LQU/@@download/ENCFF474LQU.fastq.gz,https://www.encodeproject.org/files/ENCFF532XZW/@@download/ENCFF532XZW.fastq.gz,https://www.encodeproject.org/files/ENCFF931LWJ/@@download/ENCFF931LWJ.fastq.gz,https://www.encodeproject.org/files/ENCFF928HTI/@@download/ENCFF928HTI.fastq.gz
PTTG1-human,1,https://www.encodeproject.org/files/ENCFF277CCO/@@download/ENCFF277CCO.fastq.gz,https://www.encodeproject.org/files/ENCFF529BRM/@@download/ENCFF529BRM.fastq.gz,https://www.encodeproject.org/files/ENCFF950USL/@@download/ENCFF950USL.fastq.gz,https://www.encodeproject.org/files/ENCFF760WPA/@@download/ENCFF760WPA.fastq.gz
PTTG1-human,2,https://www.encodeproject.org/files/ENCFF349DXW/@@download/ENCFF349DXW.fastq.gz,https://www.encodeproject.org/files/ENCFF660MJG/@@download/ENCFF660MJG.fastq.gz,https://www.encodeproject.org/files/ENCFF760WPA/@@download/ENCFF760WPA.fastq.gz,https://www.encodeproject.org/files/ENCFF950USL/@@download/ENCFF950USL.fastq.gz
PYGO2-human,1,https://www.encodeproject.org/files/ENCFF113QZV/@@download/ENCFF113QZV.fastq.gz,https://www.encodeproject.org/files/ENCFF891LJI/@@download/ENCFF891LJI.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
PYGO2-human,2,https://www.encodeproject.org/files/ENCFF150HAD/@@download/ENCFF150HAD.fastq.gz,https://www.encodeproject.org/files/ENCFF768KWX/@@download/ENCFF768KWX.fastq.gz,https://www.encodeproject.org/files/ENCFF427TUR/@@download/ENCFF427TUR.fastq.gz,https://www.encodeproject.org/files/ENCFF422LHF/@@download/ENCFF422LHF.fastq.gz
PYGO2-human,3,https://www.encodeproject.org/files/ENCFF165JGK/@@download/ENCFF165JGK.fastq.gz,https://www.encodeproject.org/files/ENCFF492UOJ/@@download/ENCFF492UOJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
PYGO2-human,4,https://www.encodeproject.org/files/ENCFF315YLZ/@@download/ENCFF315YLZ.fastq.gz,https://www.encodeproject.org/files/ENCFF649JEY/@@download/ENCFF649JEY.fastq.gz,https://www.encodeproject.org/files/ENCFF427TUR/@@download/ENCFF427TUR.fastq.gz,https://www.encodeproject.org/files/ENCFF422LHF/@@download/ENCFF422LHF.fastq.gz
RAD51-human,1,https://www.encodeproject.org/files/ENCFF273REO/@@download/ENCFF273REO.fastq.gz,https://www.encodeproject.org/files/ENCFF809ISJ/@@download/ENCFF809ISJ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
RAD51-human,2,https://www.encodeproject.org/files/ENCFF354UBV/@@download/ENCFF354UBV.fastq.gz,https://www.encodeproject.org/files/ENCFF600KXI/@@download/ENCFF600KXI.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
RB1-human,1,https://www.encodeproject.org/files/ENCFF268JOY/@@download/ENCFF268JOY.fastq.gz,https://www.encodeproject.org/files/ENCFF935GDU/@@download/ENCFF935GDU.fastq.gz,https://www.encodeproject.org/files/ENCFF608MDV/@@download/ENCFF608MDV.fastq.gz,https://www.encodeproject.org/files/ENCFF240DTE/@@download/ENCFF240DTE.fastq.gz
RB1-human,2,https://www.encodeproject.org/files/ENCFF615SOF/@@download/ENCFF615SOF.fastq.gz,https://www.encodeproject.org/files/ENCFF656UEH/@@download/ENCFF656UEH.fastq.gz,https://www.encodeproject.org/files/ENCFF410PHD/@@download/ENCFF410PHD.fastq.gz,https://www.encodeproject.org/files/ENCFF368UOC/@@download/ENCFF368UOC.fastq.gz
RBBP5-human,1,https://www.encodeproject.org/files/ENCFF805ZZM/@@download/ENCFF805ZZM.fastq.gz,https://www.encodeproject.org/files/ENCFF989QHY/@@download/ENCFF989QHY.fastq.gz,n/a,n/a
RELA-human,1,https://www.encodeproject.org/files/ENCFF074UIO/@@download/ENCFF074UIO.fastq.gz,https://www.encodeproject.org/files/ENCFF186DEJ/@@download/ENCFF186DEJ.fastq.gz,https://www.encodeproject.org/files/ENCFF795KJT/@@download/ENCFF795KJT.fastq.gz,https://www.encodeproject.org/files/ENCFF067HZB/@@download/ENCFF067HZB.fastq.gz
RELA-human,2,https://www.encodeproject.org/files/ENCFF148FMX/@@download/ENCFF148FMX.fastq.gz,https://www.encodeproject.org/files/ENCFF528GYT/@@download/ENCFF528GYT.fastq.gz,https://www.encodeproject.org/files/ENCFF795KJT/@@download/ENCFF795KJT.fastq.gz,https://www.encodeproject.org/files/ENCFF067HZB/@@download/ENCFF067HZB.fastq.gz
REST-human,1,https://www.encodeproject.org/files/ENCFF002EIZ/@@download/ENCFF002EIZ.fastq.gz,https://www.encodeproject.org/files/ENCFF002EJC/@@download/ENCFF002EJC.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz
REST-human,2,https://www.encodeproject.org/files/ENCFF002EJE/@@download/ENCFF002EJE.fastq.gz,https://www.encodeproject.org/files/ENCFF002EJH/@@download/ENCFF002EJH.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz
RFX1-human,1,https://www.encodeproject.org/files/ENCFF031QKW/@@download/ENCFF031QKW.fastq.gz,https://www.encodeproject.org/files/ENCFF473RLY/@@download/ENCFF473RLY.fastq.gz,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
RFX1-human,2,https://www.encodeproject.org/files/ENCFF207YQO/@@download/ENCFF207YQO.fastq.gz,https://www.encodeproject.org/files/ENCFF493EZE/@@download/ENCFF493EZE.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz
RFX1-human,3,https://www.encodeproject.org/files/ENCFF280GFD/@@download/ENCFF280GFD.fastq.gz,https://www.encodeproject.org/files/ENCFF899IKW/@@download/ENCFF899IKW.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
